primary,usersrated,bayesaverage,average,id,thumbnail
Catan,84782,7.037789999999999,7.19256,13,https://cf.geekdo-images.com/thumb/img/g8LvJsd2oLAub6AEKN_Xpdoi8Sw=/fit-in/200x150/pic2419375.jpg
Carcassonne,84471,7.3218,7.4265,822,https://cf.geekdo-images.com/thumb/img/kqE4YJSm5PVkocYGl-V_IJcZQw4=/fit-in/200x150/pic2337577.jpg
Pandemic,82819,7.54616,7.64007,30549,https://cf.geekdo-images.com/thumb/img/HEKrtpTC1y1amXh5cKnVvowyE5Y=/fit-in/200x150/pic1534148.jpg
7 Wonders,68614,7.69013,7.78302,68448,https://cf.geekdo-images.com/thumb/img/Grz-qM9xwxlvQGK7B-MiljtO9pQ=/fit-in/200x150/pic860217.jpg
Dominion,67958,7.545380000000001,7.64633,36218,https://cf.geekdo-images.com/thumb/img/iPlTR5cXFGrDuhupUgWGPjFjDPo=/fit-in/200x150/pic394356.jpg
Ticket to Ride,60179,7.3453100000000004,7.447780000000001,9209,https://cf.geekdo-images.com/thumb/img/WRanmC5bMp81aFJHqzOi7Kcj-5g=/fit-in/200x150/pic38668.jpg
Agricola,56820,7.886360000000001,7.99032,31260,https://cf.geekdo-images.com/thumb/img/zl48oz7IeKlgWJVBLYd0nFJumdA=/fit-in/200x150/pic259085.jpg
Puerto Rico,56266,7.92097,8.03708,3076,https://cf.geekdo-images.com/thumb/img/pYFq1WbW-LIQCvWCFxjQuDC-nho=/fit-in/200x150/pic158548.jpg
Small World,53346,7.21462,7.30083,40692,https://cf.geekdo-images.com/thumb/img/w1PBg6RSkhkQVHgUMeVeDWIjbrs=/fit-in/200x150/pic428828.jpg
Codenames,50607,7.62455,7.71505,178900,https://cf.geekdo-images.com/thumb/img/jEZ06Ca_jj1919XUS4DgBaaxAN8=/fit-in/200x150/pic2582929.jpg
Power Grid,49789,7.80057,7.89043,2651,https://cf.geekdo-images.com/thumb/img/6V9SeUytdXtA4ewaNDnbWJqPmwU=/fit-in/200x150/pic4459753.jpg
King of Tokyo,48277,7.13972,7.23192,70323,https://cf.geekdo-images.com/thumb/img/iEQpTdf7xHrGznRhdNBMiKy_mIM=/fit-in/200x150/pic3043734.jpg
Ticket to Ride: Europe,47228,7.44635,7.561960000000001,14996,https://cf.geekdo-images.com/thumb/img/eXshcW5A7ryFnyb3VwlSc8IxIgc=/fit-in/200x150/pic66668.jpg
Love Letter,46692,7.1687199999999995,7.25489,129622,https://cf.geekdo-images.com/thumb/img/5UWTReXVz1-gn2t0eiFzeosvfWs=/fit-in/200x150/pic1401448.jpg
Splendor,44764,7.36411,7.4729399999999995,148228,https://cf.geekdo-images.com/thumb/img/x-l6MKgcj-wBZfgX1ttvO5MRcJ4=/fit-in/200x150/pic1904079.jpg
Citadels,43628,7.002789999999999,7.102010000000001,478,https://cf.geekdo-images.com/thumb/img/8WHy1HRwSF8DAf7Dg-wdGIHFXKE=/fit-in/200x150/pic3239104.jpg
Dixit,41248,7.19285,7.2957,39856,https://cf.geekdo-images.com/thumb/img/-pTlIzjMjawpDvdG3TBwsUrHrk4=/fit-in/200x150/pic3483909.jpg
